year,state,vehicle_segment,ev_sales,ice_sales,total_sales
2018,Maharashtra,2W,19738,108340,128078
2018,Maharashtra,3W,9266,66276,75542
2018,Maharashtra,4W,6180,45190,51370
2018,Delhi,2W,23527,119209,142736
2018,Delhi,3W,5356,54510,59866
2018,Delhi,4W,5378,42411,47789
2018,Karnataka,2W,18846,87040,105886
2018,Karnataka,3W,962,41252,42214
2018,Karnataka,4W,3455,51770,55225
2018,Tamil Nadu,2W,14821,93052,107873
2018,Tamil Nadu,3W,12129,45290,57419
2018,Tamil Nadu,4W,7236,30903,38139
2018,Gujarat,2W,16094,111331,127425
2018,Gujarat,3W,2971,52508,55479
2018,Gujarat,4W,4897,44499,49396
2018,Uttar Pradesh,2W,15894,132227,148121
2018,Uttar Pradesh,3W,6952,35307,42259
2018,Uttar Pradesh,4W,9878,33349,43227
2018,Telangana,2W,18731,86483,105214
2018,Telangana,3W,2351,50362,52713
2018,Telangana,4W,9584,50056,59640
2019,Maharashtra,2W,17595,106386,123981
2019,Maharashtra,3W,1825,39361,41186
2019,Maharashtra,4W,5387,60685,66072
2019,Delhi,2W,19202,88843,108045
2019,Delhi,3W,8134,43379,51513
2019,Delhi,4W,4630,55340,59970
2019,Karnataka,2W,21608,121175,142783
2019,Karnataka,3W,4062,44289,48351
2019,Karnataka,4W,8159,59706,67865
2019,Tamil Nadu,2W,16322,107772,124094
2019,Tamil Nadu,3W,3127,33645,36772
2019,Tamil Nadu,4W,9843,64274,74117
2019,Gujarat,2W,17747,122042,139789
2019,Gujarat,3W,8265,40258,48523
2019,Gujarat,4W,8264,66456,74720
2019,Uttar Pradesh,2W,17874,128775,146649
2019,Uttar Pradesh,3W,0,57862,57862
2019,Uttar Pradesh,4W,7304,44411,51715
2019,Telangana,2W,18321,86149,104470
2019,Telangana,3W,6231,52285,58516
2019,Telangana,4W,12172,41780,53952
2020,Maharashtra,2W,15170,103978,119148
2020,Maharashtra,3W,10203,51945,62148
2020,Maharashtra,4W,5145,54159,59304
2020,Delhi,2W,18339,121623,139962
2020,Delhi,3W,4542,44068,48610
2020,Delhi,4W,5627,30437,36064
2020,Karnataka,2W,19036,113132,132168
2020,Karnataka,3W,7017,45184,52201
2020,Karnataka,4W,2046,42952,44998
2020,Tamil Nadu,2W,16800,100372,117172
2020,Tamil Nadu,3W,6435,52848,59283
2020,Tamil Nadu,4W,13601,50094,63695
2020,Gujarat,2W,18901,109106,128007
2020,Gujarat,3W,284,47681,47965
2020,Gujarat,4W,7210,77558,84768
2020,Uttar Pradesh,2W,17326,113618,130944
2020,Uttar Pradesh,3W,6878,33975,40853
2020,Uttar Pradesh,4W,10999,57023,68022
2020,Telangana,2W,20768,99087,119855
2020,Telangana,3W,11909,31177,43086
2020,Telangana,4W,9053,74285,83338
2021,Maharashtra,2W,14533,103204,117737
2021,Maharashtra,3W,7348,41958,49306
2021,Maharashtra,4W,1572,48822,50394
2021,Delhi,2W,14281,115683,129964
2021,Delhi,3W,3782,66599,70381
2021,Delhi,4W,4258,44135,48393
2021,Karnataka,2W,20847,95229,116076
2021,Karnataka,3W,7796,63685,71481
2021,Karnataka,4W,1373,50215,51588
2021,Tamil Nadu,2W,18909,119381,138290
2021,Tamil Nadu,3W,2670,32154,34824
2021,Tamil Nadu,4W,8826,51563,60389
2021,Gujarat,2W,18876,114157,133033
2021,Gujarat,3W,4619,50787,55406
2021,Gujarat,4W,8025,39427,47452
2021,Uttar Pradesh,2W,24530,115685,140215
2021,Uttar Pradesh,3W,2830,55878,58708
2021,Uttar Pradesh,4W,3588,57445,61033
2021,Telangana,2W,22055,100151,122206
2021,Telangana,3W,10371,52953,63324
2021,Telangana,4W,9877,70761,80638
2022,Maharashtra,2W,17141,100955,118096
2022,Maharashtra,3W,3886,38210,42096
2022,Maharashtra,4W,6730,52093,58823
2022,Delhi,2W,18968,119926,138894
2022,Delhi,3W,7045,65442,72487
2022,Delhi,4W,6073,80642,86715
2022,Karnataka,2W,20189,99714,119903
2022,Karnataka,3W,3251,53789,57040
2022,Karnataka,4W,6217,56568,62785
2022,Tamil Nadu,2W,19656,109126,128782
2022,Tamil Nadu,3W,4036,29821,33857
2022,Tamil Nadu,4W,5437,58276,63713
2022,Gujarat,2W,18749,95051,113800
2022,Gujarat,3W,7606,52623,60229
2022,Gujarat,4W,3906,49844,53750
2022,Uttar Pradesh,2W,18203,96284,114487
2022,Uttar Pradesh,3W,8252,54729,62981
2022,Uttar Pradesh,4W,10790,60645,71435
2022,Telangana,2W,13178,98746,111924
2022,Telangana,3W,8802,54165,62967
2022,Telangana,4W,8802,94232,103034
2023,Maharashtra,2W,19998,123626,143624
2023,Maharashtra,3W,10339,55816,66155
2023,Maharashtra,4W,5896,57107,63003
2023,Delhi,2W,15295,107158,122453
2023,Delhi,3W,5301,48982,54283
2023,Delhi,4W,15101,25592,40693
2023,Karnataka,2W,20401,90647,111048
2023,Karnataka,3W,5348,61067,66415
2023,Karnataka,4W,7224,35067,42291
2023,Tamil Nadu,2W,15496,118155,133651
2023,Tamil Nadu,3W,4443,50597,55040
2023,Tamil Nadu,4W,7159,40180,47339
2023,Gujarat,2W,25503,117607,143110
2023,Gujarat,3W,0,50237,50237
2023,Gujarat,4W,4683,58229,62912
2023,Uttar Pradesh,2W,15226,108623,123849
2023,Uttar Pradesh,3W,8767,58389,67156
2023,Uttar Pradesh,4W,2798,43985,46783
2023,Telangana,2W,16337,102160,118497
2023,Telangana,3W,13179,52859,66038
2023,Telangana,4W,2586,59014,61600
2024,Maharashtra,2W,25427,122389,147816
2024,Maharashtra,3W,1682,42189,43871
2024,Maharashtra,4W,11434,39507,50941
2024,Delhi,2W,19553,119295,138848
2024,Delhi,3W,3755,47285,51040
2024,Delhi,4W,0,35707,35707
2024,Karnataka,2W,17116,95026,112142
2024,Karnataka,3W,12713,30838,43551
2024,Karnataka,4W,5459,49568,55027
2024,Tamil Nadu,2W,23044,92769,115813
2024,Tamil Nadu,3W,11071,48122,59193
2024,Tamil Nadu,4W,3564,53545,57109
2024,Gujarat,2W,18696,102797,121493
2024,Gujarat,3W,7244,43376,50620
2024,Gujarat,4W,7397,55945,63342
2024,Uttar Pradesh,2W,23551,95146,118697
2024,Uttar Pradesh,3W,14465,24574,39039
2024,Uttar Pradesh,4W,6468,55059,61527
2024,Telangana,2W,18983,102527,121510
2024,Telangana,3W,6271,42083,48354
2024,Telangana,4W,4937,58195,63132
